"player_id","match_id","club_name","event","event_time","event_half"
"588","ARSBOU","Arsenal","start",NULL,NULL
"587","ARSBOU","Arsenal","start",NULL,NULL
"586","ARSBOU","Arsenal","start",NULL,NULL
"589","ARSBOU","Arsenal","start",NULL,NULL
"599","ARSBOU","Arsenal","start",NULL,NULL
"596","ARSBOU","Arsenal","start",NULL,NULL
"583","ARSBOU","Arsenal","start",NULL,NULL
"584","ARSBOU","Arsenal","start",NULL,NULL
"581","ARSBOU","Arsenal","start",NULL,NULL
"574","ARSBOU","Arsenal","start",NULL,NULL
"597","ARSBOU","Arsenal","start",NULL,NULL
"575","ARSBOU","Arsenal","sub",NULL,NULL
"581","ARSBOU","Arsenal","sub",NULL,NULL
"576","ARSBOU","Arsenal","sub",NULL,NULL
"577","ARSBOU","Arsenal","sub",NULL,NULL
"578","ARSBOU","Arsenal","sub",NULL,NULL
"579","ARSBOU","Arsenal","sub",NULL,NULL
"580","ARSBOU","Arsenal","sub",NULL,NULL
"581","ARSBOU","Arsenal","sub",NULL,NULL
"574","ARSBOU","Arsenal","sub",NULL,NULL
"664","ARSBOU","Bournemouth","start",NULL,NULL
"663","ARSBOU","Bournemouth","start",NULL,NULL
"668","ARSBOU","Bournemouth","start",NULL,NULL
"645","ARSBOU","Bournemouth","start",NULL,NULL
"659","ARSBOU","Bournemouth","start",NULL,NULL
"643","ARSBOU","Bournemouth","start",NULL,NULL
"644","ARSBOU","Bournemouth","start",NULL,NULL
"660","ARSBOU","Bournemouth","start",NULL,NULL
"661","ARSBOU","Bournemouth","start",NULL,NULL
"657","ARSBOU","Bournemouth","start",NULL,NULL
"642","ARSBOU","Bournemouth","start",NULL,NULL
"640","ARSBOU","Bournemouth","sub",NULL,NULL
"646","ARSBOU","Bournemouth","sub",NULL,NULL
"647","ARSBOU","Bournemouth","sub",NULL,NULL
"645","ARSBOU","Bournemouth","sub",NULL,NULL
"643","ARSBOU","Bournemouth","sub",NULL,NULL
"651","ARSBOU","Bournemouth","sub",NULL,NULL
"650","ARSBOU","Bournemouth","sub",NULL,NULL
"649","ARSBOU","Bournemouth","sub",NULL,NULL
"648","ARSBOU","Bournemouth","sub",NULL,NULL
"576","ARSBRE","Arsenal","start",NULL,NULL
"575","ARSBRE","Arsenal","start",NULL,NULL
"586","ARSBRE","Arsenal","start",NULL,NULL
"594","ARSBRE","Arsenal","start",NULL,NULL
"595","ARSBRE","Arsenal","start",NULL,NULL
"602","ARSBRE","Arsenal","start",NULL,NULL
"601","ARSBRE","Arsenal","start",NULL,NULL
"600","ARSBRE","Arsenal","start",NULL,NULL
"573","ARSBRE","Arsenal","start",NULL,NULL
"585","ARSBRE","Arsenal","start",NULL,NULL
"577","ARSBRE","Arsenal","start",NULL,NULL
"577","ARSBRE","Arsenal","sub",NULL,NULL
"579","ARSBRE","Arsenal","sub",NULL,NULL
"576","ARSBRE","Arsenal","sub",NULL,NULL
"575","ARSBRE","Arsenal","sub",NULL,NULL
"584","ARSBRE","Arsenal","sub",NULL,NULL
"583","ARSBRE","Arsenal","sub",NULL,NULL
