"coach_id","club_name","event","match_id","event_time","event_half"
"1","Wolverhampton Wanderers","participate","BHAWOL",NULL,NULL
"1","Wolverhampton Wanderers","participate","MCIWOL",NULL,NULL
"1","Wolverhampton Wanderers","participate","WOLBHA",NULL,NULL
"1","Wolverhampton Wanderers","participate","ARSWOL",NULL,NULL
"1","Wolverhampton Wanderers","participate","FULWOL",NULL,NULL
"1","Wolverhampton Wanderers","participate","WOLMCI",NULL,NULL
"1","Wolverhampton Wanderers","participate","LIVWOL",NULL,NULL
"1","Wolverhampton Wanderers","participate","BOUWOL",NULL,NULL
"1","Wolverhampton Wanderers","participate","BREWOL",NULL,NULL
"1","Wolverhampton Wanderers","participate","WOLSHE",NULL,NULL
"1","Wolverhampton Wanderers","participate","WHUWOL",NULL,NULL
"1","Wolverhampton Wanderers","participate","BURWOL",NULL,NULL
"1","Wolverhampton Wanderers","participate","WOLBUR",NULL,NULL
"1","Wolverhampton Wanderers","participate","WOLCRY",NULL,NULL
"1","Wolverhampton Wanderers","participate","CHEWOL",NULL,NULL
"1","Wolverhampton Wanderers","participate","WOLEVE",NULL,NULL
"1","Wolverhampton Wanderers","participate","SHEWOL",NULL,NULL
"1","Wolverhampton Wanderers","participate","WOLNOT",NULL,NULL
"1","Wolverhampton Wanderers","participate","TOTWOL",NULL,NULL
"1","Wolverhampton Wanderers","participate","WOLCHE",NULL,NULL
"1","Wolverhampton Wanderers","participate","WOLTOT",NULL,NULL
"1","Wolverhampton Wanderers","participate","WOLBRE",NULL,NULL
"1","Wolverhampton Wanderers","participate","WOLBOU",NULL,NULL
"1","Wolverhampton Wanderers","participate","WOLARS",NULL,NULL
"1","Wolverhampton Wanderers","participate","EVEWOL",NULL,NULL
"1","Wolverhampton Wanderers","participate","CRYWOL",NULL,NULL
"1","Wolverhampton Wanderers","participate","WOLFUL",NULL,NULL
"1","Wolverhampton Wanderers","participate","MUNWOL",NULL,NULL
"1","Wolverhampton Wanderers","participate","WOLNEW",NULL,NULL
"1","Wolverhampton Wanderers","participate","WOLLIV",NULL,NULL
"1","Wolverhampton Wanderers","participate","NOTWOL",NULL,NULL
"1","Wolverhampton Wanderers","participate","LUTWOL",NULL,NULL
"1","Wolverhampton Wanderers","participate","WOLWHU",NULL,NULL
"1","Wolverhampton Wanderers","participate","NEWWOL",NULL,NULL
"1","Wolverhampton Wanderers","participate","WOLMUN",NULL,NULL
"1","Wolverhampton Wanderers","participate","AVLWOL",NULL,NULL
"1","Wolverhampton Wanderers","participate","WOLAVL",NULL,NULL
"1","Wolverhampton Wanderers","participate","WOLLUT",NULL,NULL
"2","West Ham United","participate","WHUARS",NULL,NULL
"2","West Ham United","participate","WHUMUN",NULL,NULL
"2","West Ham United","participate","TOTWHU",NULL,NULL
"2","West Ham United","participate","BOUWHU",NULL,NULL
"2","West Ham United","participate","WHUEVE",NULL,NULL
"2","West Ham United","participate","WHUMCI",NULL,NULL
"2","West Ham United","participate","MCIWHU",NULL,NULL
"2","West Ham United","participate","BREWHU",NULL,NULL
"2","West Ham United","participate","NOTWHU",NULL,NULL
"2","West Ham United","participate","WHUBUR",NULL,NULL
"2","West Ham United","participate","WHUSHE",NULL,NULL
"2","West Ham United","participate","WHUWOL",NULL,NULL
"2","West Ham United","participate","WHUBHA",NULL,NULL
"2","West Ham United","participate","WHUCHE",NULL,NULL
"2","West Ham United","participate","WHUFUL",NULL,NULL
"2","West Ham United","participate","EVEWHU",NULL,NULL
"2","West Ham United","participate","BURWHU",NULL,NULL
"2","West Ham United","participate","WHUNEW",NULL,NULL
"2","West Ham United","participate","WHUBRE",NULL,NULL
"2","West Ham United","participate","SHEWHU",NULL,NULL
"2","West Ham United","participate","BHAWHU",NULL,NULL
"2","West Ham United","participate","WHUNOT",NULL,NULL
"2","West Ham United","participate","ARSWHU",NULL,NULL
"2","West Ham United","participate","CRYWHU",NULL,NULL
"2","West Ham United","participate","LUTWHU",NULL,NULL
"2","West Ham United","participate","WOLWHU",NULL,NULL
"2","West Ham United","participate","NEWWHU",NULL,NULL
"2","West Ham United","participate","WHUBOU",NULL,NULL
"2","West Ham United","participate","WHULUT",NULL,NULL
"2","West Ham United","participate","LIVWHU",NULL,NULL
"2","West Ham United","participate","WHUAVL",NULL,NULL
"2","West Ham United","participate","WHULIV",NULL,NULL
"2","West Ham United","participate","WHUTOT",NULL,NULL
"2","West Ham United","participate","AVLWHU",NULL,NULL
"2","West Ham United","participate","CHEWHU",NULL,NULL
"2","West Ham United","participate","WHUCRY",NULL,NULL
"2","West Ham United","participate","FULWHU",NULL,NULL
"2","West Ham United","participate","MUNWHU",NULL,NULL
"3","Tottenham Hotspur","participate","SHETOT",NULL,NULL
"3","Tottenham Hotspur","participate","MCITOT",NULL,NULL
"3","Tottenham Hotspur","participate","TOTMCI",NULL,NULL
"3","Tottenham Hotspur","participate","TOTNOT",NULL,NULL
"3","Tottenham Hotspur","participate","EVETOT",NULL,NULL
"3","Tottenham Hotspur","participate","BURTOT",NULL,NULL
"3","Tottenham Hotspur","participate","NOTTOT",NULL,NULL
"3","Tottenham Hotspur","participate","TOTMUN",NULL,NULL
"3","Tottenham Hotspur","Ban","TOTLIV",NULL,NULL
"3","Tottenham Hotspur","participate","BOUTOT",NULL,NULL
"3","Tottenham Hotspur","participate","CHETOT",NULL,NULL
"3","Tottenham Hotspur","participate","TOTLUT",NULL,NULL
"3","Tottenham Hotspur","participate","TOTEVE",NULL,NULL
"3","Tottenham Hotspur","participate","TOTARS",NULL,NULL
"3","Tottenham Hotspur","participate","TOTFUL",NULL,NULL
"3","Tottenham Hotspur","participate","MUNTOT",NULL,NULL
"3","Tottenham Hotspur","participate","TOTCRY",NULL,NULL
"3","Tottenham Hotspur","participate","TOTCHE",NULL,NULL
"3","Tottenham Hotspur","participate","LUTTOT",NULL,NULL
"3","Tottenham Hotspur","participate","TOTBRE",NULL,NULL
"3","Tottenham Hotspur","participate","TOTBUR",NULL,NULL
"3","Tottenham Hotspur","participate","TOTWOL",NULL,NULL
"3","Tottenham Hotspur","participate","TOTBOU",NULL,NULL
"3","Tottenham Hotspur","participate","LIVTOT",NULL,NULL
"3","Tottenham Hotspur","participate","TOTBHA",NULL,NULL
"3","Tottenham Hotspur","participate","TOTAVL",NULL,NULL
"3","Tottenham Hotspur","participate","AVLTOT",NULL,NULL
"3","Tottenham Hotspur","participate","NEWTOT",NULL,NULL
"3","Tottenham Hotspur","participate","FULTOT",NULL,NULL
"3","Tottenham Hotspur","participate","TOTWHU",NULL,NULL
"3","Tottenham Hotspur","participate","CRYTOT",NULL,NULL
"3","Tottenham Hotspur","participate","ARSTOT",NULL,NULL
"3","Tottenham Hotspur","participate","TOTSHE",NULL,NULL
"3","Tottenham Hotspur","participate","BRETOT",NULL,NULL
"3","Tottenham Hotspur","participate","BHATOT",NULL,NULL
"3","Tottenham Hotspur","participate","WHUTOT",NULL,NULL
"3","Tottenham Hotspur","participate","TOTNEW",NULL,NULL
"3","Tottenham Hotspur","participate","WOLTOT",NULL,NULL
"4","Sheffield United","participate","NEWSHE",NULL,NULL
"4","Sheffield United","participate","SHECHE",NULL,NULL
"4","Sheffield United","participate","SHEBUR",NULL,NULL
"4","Sheffield United","participate","BOUSHE",NULL,NULL
"4","Sheffield United","participate","SHEFUL",NULL,NULL
"4","Sheffield United","participate","SHEBRE",NULL,NULL
"4","Sheffield United","participate","LUTSHE",NULL,NULL
"4","Sheffield United","participate","NOTSHE",NULL,NULL
"4","Sheffield United","participate","SHEMCI",NULL,NULL
"4","Sheffield United","participate","BHASHE",NULL,NULL
"4","Sheffield United","participate","SHEBOU",NULL,NULL
"4","Sheffield United","participate","SHEBHA",NULL,NULL
"4","Sheffield United","Ban","SHENOT",NULL,NULL
"4","Sheffield United","participate","BRESHE",NULL,NULL
"4","Sheffield United","participate","LIVSHE",NULL,NULL
"4","Sheffield United","participate","SHEARS",NULL,NULL
"4","Sheffield United","participate","FULSHE",NULL,NULL
"4","Sheffield United","participate","SHEMUN",NULL,NULL
"4","Sheffield United","participate","ARSSHE",NULL,NULL
"4","Sheffield United","participate","SHELUT",NULL,NULL
"4","Sheffield United","participate","SHENEW",NULL,NULL
"4","Sheffield United","participate","SHEAVL",NULL,NULL
"4","Sheffield United","participate","WOLSHE",NULL,NULL
"4","Sheffield United","participate","EVESHE",NULL,NULL
